District Name,State,Year Lifted,Year Placed,Order Type,Region
Abbeville 60,SC,1984,Unknown year,Involuntary,Southeast
Aberdeen School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Acadia Parish,LA,1981,Unknown year,Involuntary,Southeast
Affton 101,MO,1999,Unknown year,Involuntary,Midwest
Alabaster City,AL,STILL OPEN,1963,Involuntary,Southeast
Alachua,FL,1971,Unknown year,Involuntary,Southeast
Alamance-Burlington Schools,NC,2009,Unknown year,Involuntary,Southeast
Alamo,TN,STILL OPEN,1966,Involuntary,Southeast
Aldine Isd,TX,2002,Unknown year,Involuntary,Southwest
Alexander City,AL,2002,Unknown year,Involuntary,Southeast
Alexandria City Pblc Schs,VA,STILL OPEN,Unknown year,Involuntary,Southeast
Allendale 01,SC,STILL OPEN,1968,Involuntary,Southeast
Altheimer Unified School Dist.*,AR,2003,Unknown year,Involuntary,Southeast
Amite Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Andalusia City,AL,2002,Unknown year,Involuntary,Southeast
Anderson 03,SC,2005,Unknown year,Involuntary,Southeast
Anniston City,AL,STILL OPEN,1963,Involuntary,Southeast
Anson County Schools,NC,1973,Unknown year,Involuntary,Southeast
Appling County,GA,STILL OPEN,1969,Involuntary,Southeast
Arlington Co Pblc Schs,VA,STILL OPEN,1957,Involuntary,Southeast
Ascension Parish,LA,2004,Unknown year,Involuntary,Southeast
Asheville City Schools,NC,STILL OPEN,1965,Involuntary,Southeast
Athens City,AL,2006,Unknown year,Involuntary,Southeast
Atkinson County,GA,2008,Unknown year,Involuntary,Southeast
Atlanta Public Schools,GA,1979,Unknown year,Involuntary,Southeast
Attala Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Attalla City,AL,2006,Unknown year,Involuntary,Southeast
Auburn City,AL,2002,Unknown year,Involuntary,Southeast
Augusta Co Pblc Schs,VA,STILL OPEN,1966,Involuntary,Southeast
Austin Isd,TX,1983,Unknown year,Involuntary,Southwest
Autauga County,AL,2005,Unknown year,Involuntary,Southeast
Avon Community School Corp,IN,1998,Unknown year,Involuntary,Midwest
Avoyelles Parish,LA,STILL OPEN,1967,Involuntary,Southeast
Baker,FL,2009,Unknown year,Involuntary,Southeast
Baker County,GA,2007,Unknown year,Involuntary,Southeast
Bakersfield City,CA,2011,Unknown year,Involuntary,West
Baldwin County,GA,2008,Unknown year,Involuntary,Southeast
Baldwin County,AL,1977,Unknown year,Involuntary,Southeast
Baltimore City Public Schools,MD,STILL OPEN,1976,Involuntary,Southeast
Baltimore County Public Schools,MD,STILL OPEN,1973,Involuntary,Southeast
Bamberg 02,SC,2004,Unknown year,Involuntary,Southeast
Barbour County,AL,2013,Unknown year,Involuntary,Southeast
Barnwell 19,SC,STILL OPEN,1970,Involuntary,Southeast
Barnwell 45,SC,STILL OPEN,1969,Involuntary,Southeast
Barrow County,GA,STILL OPEN,1969,Involuntary,Southeast
Bay,FL,STILL OPEN,1966,Involuntary,Southeast
Bayless,MO,1999,Unknown year,Involuntary,Midwest
Beaufort County Schools,NC,1972,Unknown year,Involuntary,Southeast
Beaumont Isd,TX,1984,Unknown year,Involuntary,Southwest
Beech Grove City Schools,IN,1998,Unknown year,Involuntary,Midwest
Bells,TN,2006,Unknown year,Involuntary,Southeast
Ben Hill County,GA,2009,Unknown year,Involuntary,Southeast
Benton Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Benton Harbor Area Schools,MI,2002,Unknown year,Involuntary,Midwest
Berkeley 01,SC,2004,Unknown year,Involuntary,Southeast
Bertie County Schools,NC,2009,Unknown year,Involuntary,Southeast
Bessemer City,AL,2006,Unknown year,Involuntary,Southeast
Bibb County,AL,2007,Unknown year,Involuntary,Southeast
Bibb County,GA,2007,Unknown year,Involuntary,Southeast
Bienville Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Biloxi Public School Dist,MS,2002,Unknown year,Involuntary,Southeast
Birmingham City,AL,1983,Unknown year,Involuntary,Southeast
Bladen County Schools,NC,1997,Unknown year,Involuntary,Southeast
Bleckley County,GA,2006,Unknown year,Involuntary,Southeast
Blount County,AL,2005,Unknown year,Involuntary,Southeast
Bossier Parish,LA,STILL OPEN,1965,Involuntary,Southeast
Boston,MA,1987,Unknown year,Involuntary,Northeast
Bradford,FL,STILL OPEN,1970,Involuntary,Southeast
Bradford,TN,2008,Unknown year,Involuntary,Southeast
Bradley School District,AR,2005,Unknown year,Involuntary,Southeast
Brandywine School District,DE,1996,Unknown year,Involuntary,Southeast
Brentwood,MO,1999,Unknown year,Involuntary,Midwest
Brevard,FL,1978,Unknown year,Involuntary,Southeast
