District Name,City,State,Year Lifted,Year Placed
Abbeville 60,Abbeville,SC,1984,N/A
Aberdeen School Dist,Aberdeen,MS,STILL OPEN,1969
Acadia Parish,Crowley,LA,1981,N/A
Affton 101,St Louis,MO,1999,N/A
Alabaster City,Alabaster,AL,STILL OPEN,1963
Alachua,Gainesville,FL,1971,N/A
Alamance-Burlington Schools,Burlington,NC,2009,N/A
Alamo,Alamo,TN,STILL OPEN,1966
Aldine Isd,Houston,TX,2002,N/A
Alexander City,Alexander City,AL,2002,N/A
Alexandria City Pblc Schs,Alexandria,VA,STILL OPEN,N/A
Allendale 01,Allendale,SC,STILL OPEN,1968
Altheimer Unified School Dist.*,,AR,2003,N/A
Amite Co School Dist,Liberty,MS,STILL OPEN,1969
Andalusia City,Andalusia,AL,2002,N/A
Anderson 03,Iva,SC,2005,N/A
Anniston City,Anniston,AL,STILL OPEN,1963
Anson County Schools,Wadesboro,NC,1973,N/A
Appling County,Baxley,GA,STILL OPEN,1969
Arlington Co Pblc Schs,Arlington,VA,STILL OPEN,1957
Ascension Parish,Donaldsonville,LA,2004,N/A
Asheville City Schools,Asheville,NC,STILL OPEN,1965
Athens City,Athens,AL,2006,N/A
Atkinson County,Pearson,GA,2008,N/A
Atlanta Public Schools,Atlanta,GA,1979,N/A
Attala Co School Dist,Kosciusko,MS,STILL OPEN,1970
Attalla City,Attalla,AL,2006,N/A
Auburn City,Auburn,AL,2002,N/A
Augusta Co Pblc Schs,Fishersville,VA,STILL OPEN,1966
Austin Isd,Austin,TX,1983,N/A
Autauga County,Prattville,AL,2005,N/A
Avon Community School Corp,Avon,IN,1998,N/A
Avoyelles Parish,Marksville,LA,STILL OPEN,1967
Baker,Macclenny,FL,2009,N/A
Baker County,Newton,GA,2007,N/A
Bakersfield City,Bakersfield,CA,2011,N/A
Baldwin County,Milledgeville,GA,2008,N/A
Baldwin County,Bay Minette,AL,1977,N/A
Baltimore City Public Schools,Baltimore,MD,STILL OPEN,1976
Baltimore County Public Schools,Baltimore,MD,STILL OPEN,1973
Bamberg 02,Denmark,SC,2004,N/A
Barbour County,Clayton,AL,2013,N/A
Barnwell 19,Blackville,SC,STILL OPEN,1970
Barnwell 45,Barnwell,SC,STILL OPEN,1969
Barrow County,Winder,GA,STILL OPEN,1969
Bay,Panama City,FL,STILL OPEN,1966
Bayless,St Louis,MO,1999,N/A
Beaufort County Schools,Washington,NC,1972,N/A
Beaumont Isd,Beaumont,TX,1984,N/A
Beech Grove City Schools,Beech Grove,IN,1998,N/A
Bells,Bells,TN,2006,N/A
Ben Hill County,Fitzgerald,GA,2009,N/A
Benton Co School Dist,Ashland,MS,STILL OPEN,1970
Benton Harbor Area Schools,Benton Harbor,MI,2002,N/A
Berkeley 01,Moncks Corner,SC,2004,N/A
Bertie County Schools,Windsor,NC,2009,N/A
Bessemer City,Bessemer,AL,2006,N/A
Bibb County,Centreville,AL,2007,N/A
Bibb County,Macon,GA,2007,N/A
Bienville Parish,Arcadia,LA,STILL OPEN,1966
Biloxi Public School Dist,Biloxi,MS,2002,N/A
Birmingham City,Birmingham,AL,1983,N/A
Bladen County Schools,Elizabethtown,NC,1997,N/A
Bleckley County,Cochran,GA,2006,N/A
Blount County,Oneonta,AL,2005,N/A
Bossier Parish,Benton,LA,STILL OPEN,1965
Boston,Boston,MA,1987,N/A
Bradford,Starke,FL,STILL OPEN,1970
Bradford,Bradford,TN,2008,N/A
Bradley School District,Bradley,AR,2005,N/A
Brandywine School District,Claymont,DE,1996,N/A
Brentwood,Brentwood,MO,1999,N/A
Brevard,Viera,FL,1978,N/A
Brewton City,Brewton,AL,1977,N/A
Bridgeport Public Schools,Bridgeport,NE,2005,N/A
Bright Star*,,AR,2003,N/A
Brookhaven School Dist,Brookhaven,MS,STILL OPEN,1969
Brooks County,Quitman,GA,2005,N/A
Broward,Fort Lauderdale,FL,1996,N/A
Brownsburg Community Sch Corp,Brownsburg,IN,1998,N/A
Brunswick Co Pblc Schs,Lawrenceville,VA,STILL OPEN,1969
Bryan County,Pembroke,GA,STILL OPEN,1969
Bryan Isd,Bryan,TX,1987,N/A
Buckingham Co Pblc Schs,Buckingham,VA,STILL OPEN,1961
Buffalo City School District,Buffalo,NY,1995,N/A
Buffalo Isd,Buffalo,TX,STILL OPEN,1970
Bulloch County,Statesboro,GA,2001,N/A
Bullock County,Union Springs,AL,1999,N/A
Buncombe County Schools,Asheville,NC,STILL OPEN,1965
