State,District Name,Docket#,Received,Resolved,
CO,Adams County        14,8091230,8/7/09,2/9/10,
CO,Adams County        14,8101112,3/25/10,4/25/14,
IL,Addison School Dist 4,5131022,10/11/12,5/6/13,
IL,Adler School Of Professional Psychology,5122079,12/27/11,6/22/12,
NY,Albany City School District,2131010,10/10/12,5/10/13,
IA,Ames Community School District,7031146,5/7/03,5/10/04,
KY,Anderson Co,3141084,1/31/14,6/9/14,
SC,Anderson County School District 05,11101117,2/26/10,2/4/13,
CT,Ansonia Board Of Education,1091114,4/3/09,9/29/10,
CA,Antioch Unified,9091365,9/23/09,5/20/11,
CA,Antioch Unified,9121462,9/5/12,9/20/13,
CA,Argosy University,9122082,1/9/12,1/28/13,
AZ,Arizona Depart Of Education,8064006,11/28/05,8/31/12,
TX,Arlington Isd,6111416,8/25/11,2/21/12,
GA,Atlanta Christian College,4092100,4/20/09,5/26/11,
IL,Aurora East Unit School Dist 131,5131091,12/12/12,7/17/13,
IL,Aurora East Unit School Dist 131,5131311,6/6/13,12/19/13,
CO,Aurora Public School District,8085001,12/7/07,3/28/08,
AZ,Avondale Elementary District,8011179,9/4/01,7/9/04,
AZ,Avondale Elementary District,8131191,5/9/13,11/20/13,
KS,Baker University,7102020,12/31/09,7/8/10,
PA,Baldwin-Whitehall Sd,3131098,3/25/13,12/13/13,
DC,Basis Dc Pcs,11131119,2/19/13,11/7/13,
SC,Beaufort County School District,11091302,5/21/09,5/10/10,
MA,Belmont,1121166,3/27/12,9/21/12,
OK,Bennington Public Schools,7131011,10/9/12,3/25/13,
CT,Berlin Board Of Education,1121134,3/2/12,8/29/12,
AL,Bessemer City Sch Dist,4131160,1/17/13,7/16/13,
GA,Bill Ireland Youth Development Center,4084022,2/29/08,7/1/09,
NY,Boces Questar Iii,2141192,2/14/14,5/12/14,
NY,Boces St Lawrence-Lewis,2141189,2/14/14,6/16/14,
NY,Boces Sullivan,2141194,2/14/14,5/15/14,
MA,Boston Ps,1091215,8/12/09,8/26/10,
MA,Boston Ps,1105001,3/23/10,4/20/12,
CO,Boulder Valley      Re 2,8131156,4/3/13,11/5/13,
CT,Bridgeport Board Of Education,1111218,6/9/11,2/8/12,
OH,Brookfield Local Sd,15131070,12/11/12,6/7/13,
